E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.9999	71	e-	EventGenerator	0.065122
	0.29244	71	-1	EventGenerator/
9.9997	72	e-	EventGenerator	0.065123
	0.72534	72	-1	EventGenerator/
9.9997	73	e-	EventGenerator	0.065122
	0.72072	73	-1	EventGenerator/
9.9999	74	e-	EventGenerator	0.065122
9.9999	74	gamma	eBrem	-1e+06
	0.34501	74	-1	EventGenerator/eBrem/
9.9998	75	e-	EventGenerator	0.065122
	0.3137	75	-1	EventGenerator/
9.9999	76	e-	EventGenerator	0.065122
	0.35362	76	-1	EventGenerator/
9.9998	77	e-	EventGenerator	0.065122
	0.40514	77	-1	EventGenerator/
9.9999	78	e-	EventGenerator	0.065122
	0.25954	78	-1	EventGenerator/
9.9999	79	e-	EventGenerator	0.065122
	0.26231	79	-1	EventGenerator/
9.9999	80	e-	EventGenerator	0.065122
	0.2893	80	-1	EventGenerator/
9.9999	81	e-	EventGenerator	0.065122
	0.37139	81	-1	EventGenerator/
9.9999	82	e-	EventGenerator	0.065122
	0.30132	82	-1	EventGenerator/
9.9996	83	e-	EventGenerator	0.065122
	0.31279	83	-1	EventGenerator/
10	84	e-	EventGenerator	0.065122
	0.28832	84	-1	EventGenerator/
10	85	e-	EventGenerator	0.065122
10	85	gamma	eBrem	-1e+06
10	85	e-	compt	-1e+06
	0.6159	85	-1	EventGenerator/eBrem/compt/
9.988	86	e-	EventGenerator	0.065124
9.988	86	gamma	eBrem	-1e+06
	0.27498	86	-1	EventGenerator/eBrem/
9.9997	87	e-	EventGenerator	0.065122
	0.27254	87	-1	EventGenerator/
9.9997	88	e-	EventGenerator	0.065122
	0.3225	88	-1	EventGenerator/
9.9999	89	e-	EventGenerator	0.065122
	0.32433	89	-1	EventGenerator/
9.9999	90	e-	EventGenerator	0.065122
	0.289	90	-1	EventGenerator/
9.9998	91	e-	EventGenerator	0.065122
	0.30968	91	-1	EventGenerator/
10	92	e-	EventGenerator	0.065122
	0.27965	92	-1	EventGenerator/
9.9998	93	e-	EventGenerator	0.065122
	0.37419	93	-1	EventGenerator/
9.9999	94	e-	EventGenerator	0.065122
	0.3049	94	-1	EventGenerator/
10	95	e-	EventGenerator	0.065122
	0.32385	95	-1	EventGenerator/
9.9999	96	e-	EventGenerator	0.065122
9.9999	96	e-	eIoni	-1e+06
9.9999	96	gamma	eBrem	-1e+06
9.9999	96	e-	phot	-1e+06
	1.326	96	-1	EventGenerator/eIoni/eBrem/phot/
9.9999	97	e-	EventGenerator	0.065122
	0.27237	97	-1	EventGenerator/
9.9999	98	e-	EventGenerator	0.065122
	0.33204	98	-1	EventGenerator/
10	99	e-	EventGenerator	0.065122
