E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
1.06	32	gamma	eBrem	0.067876
	0.33352	32	-1	EventGenerator/eBrem/
5.2058	33	e-	EventGenerator	0.069431
	0.41612	33	-1	EventGenerator/
7.7712	34	e-	EventGenerator	0.068205
0.53749	34	gamma	eBrem	0.066536
0.37781	34	gamma	eBrem	0.068952
	0.34005	34	-1	EventGenerator/eBrem/eBrem/
0.21125	39	gamma	eBrem	0.066743
4.8769	46	e-	EventGenerator	0.074596
0.48355	46	gamma	eBrem	0.067899
	0.22504	46	-1	EventGenerator/eBrem/
5.8275	47	e-	EventGenerator	0.066797
	0.45189	47	-1	EventGenerator/
4.2553	48	gamma	eBrem	0.065141
9.0837	49	gamma	eBrem	0.067621
9.0837	49	e-	compt	-1e+06
	0.2438	49	-1	eBrem/compt/
7.4839	52	e-	EventGenerator	0.065274
0.90811	52	gamma	eBrem	0.065836
	0.34843	52	-1	EventGenerator/eBrem/
8.0291	54	e-	EventGenerator	0.06868
	0.31715	54	-1	EventGenerator/
6.9442	56	e-	EventGenerator	0.067101
1.9711	56	gamma	eBrem	0.065269
	0.34247	56	-1	EventGenerator/eBrem/
0.22342	57	gamma	eBrem	0.068189
7.1518	58	e-	EventGenerator	0.067998
7.1518	58	gamma	eBrem	-1e+06
7.1518	58	e-	phot	-1e+06
	0.29028	58	-1	EventGenerator/eBrem/phot/
4.1171	59	gamma	eBrem	0.066613
7.4266	63	e-	EventGenerator	0.065457
1.2353	63	gamma	eBrem	0.068011
1.2353	63	gamma	eBrem	-1e+06
	0.34309	63	-1	EventGenerator/eBrem/eBrem/
8.6017	66	e-	EventGenerator	0.065552
	0.28623	66	-1	EventGenerator/
8.1323	69	e-	EventGenerator	0.066906
8.1323	69	gamma	eBrem	-1e+06
8.1323	69	e-	eIoni	-1e+06
8.1323	69	e-	phot	-1e+06
	0.71245	69	-1	EventGenerator/eBrem/eIoni/phot/
3.57	70	gamma	eBrem	0.06518
8.6902	72	e-	EventGenerator	0.066633
	0.34547	72	-1	EventGenerator/
3.2204	75	e-	EventGenerator	0.065754
3.8891	75	gamma	eBrem	0.065777
0.10385	75	gamma	eBrem	0.067151
	0.3308	75	-1	EventGenerator/eBrem/eBrem/
0.98694	76	gamma	eBrem	0.06691
0.951	76	gamma	eBrem	0.067638
0.15859	78	gamma	eBrem	0.06838
4.3142	79	gamma	eBrem	0.065263
0.78989	85	gamma	eBrem	0.065673
8.0081	86	e-	EventGenerator	0.06555
8.0081	86	gamma	eBrem	-1e+06
	0.28851	86	-1	EventGenerator/eBrem/
8.3119	87	e-	EventGenerator	0.067394
0.37752	87	gamma	eBrem	0.065248
	0.5364	87	-1	EventGenerator/eBrem/
6.8155	91	e-	EventGenerator	0.067731
1.6791	91	gamma	eBrem	0.065169
	0.30906	91	-1	EventGenerator/eBrem/
8.616	93	e-	EventGenerator	0.066478
	0.35269	93	-1	EventGenerator/
8.9411	94	e-	EventGenerator	0.066613
	0.30775	94	-1	EventGenerator/
7.904	96	e-	EventGenerator	0.067611
	0.33166	96	-1	EventGenerator/
1.1891	97	gamma	eBrem	0.065457
0.23554	98	gamma	eBrem	0.066065
8.5104	100	e-	EventGenerator	0.066994
	0.33944	100	-1	EventGenerator/
8.0329	101	e-	EventGenerator	0.067229
0.13738	101	gamma	eBrem	0.066965
0.13738	101	e-	eIoni	-1e+06
	0.58562	101	-1	EventGenerator/eBrem/eIoni/
0.38723	102	gamma	eBrem	0.066476
6.4348	104	e-	EventGenerator	0.067722
2.0072	104	gamma	eBrem	0.066145
	0.31629	104	-1	EventGenerator/eBrem/
3.1105	108	e-	EventGenerator	0.068261
	0.33252	108	-1	EventGenerator/
8.8353	109	e-	EventGenerator	0.068256
	0.097949	109	-1	EventGenerator/
4.9401	111	gamma	eBrem	0.067216
5.8079	113	gamma	eBrem	0.06524
0.52407	115	gamma	eBrem	0.067467
8.0705	118	gamma	eBrem	0.065119
0.60879	121	gamma	eBrem	0.06516
8.3585	122	e-	EventGenerator	0.067848
	0.31235	122	-1	EventGenerator/
8.5716	123	e-	EventGenerator	0.066826
0.23581	123	gamma	eBrem	0.06665
	0.34625	123	-1	EventGenerator/eBrem/
8.4037	124	e-	EventGenerator	0.066631
	0.33899	124	-1	EventGenerator/
8.7338	127	e-	EventGenerator	0.066298
	0.37954	127	-1	EventGenerator/
3.3771	128	e-	EventGenerator	0.066029
0.57303	128	gamma	eBrem	0.065173
	0.33813	128	-1	EventGenerator/eBrem/
8.737	131	e-	EventGenerator	0.066802
	0.39284	131	-1	EventGenerator/
0.14091	132	gamma	eBrem	0.074952
6.5335	133	e-	EventGenerator	0.065669
0.49905	133	gamma	eBrem	0.069235
1.6381	133	gamma	eBrem	0.065709
	0.29949	133	-1	EventGenerator/eBrem/eBrem/
6.9874	134	gamma	eBrem	0.065175
7.7542	135	e-	EventGenerator	0.065868
0.96253	135	gamma	eBrem	0.066679
0.96253	135	e-	eIoni	-1e+06
	0.71827	135	-1	EventGenerator/eBrem/eIoni/
6.9842	136	e-	EventGenerator	0.066364
1.3231	136	gamma	eBrem	0.065487
	0.27512	136	-1	EventGenerator/eBrem/
3.4162	138	e-	EventGenerator	0.068343
2.8982	138	gamma	eBrem	0.065664
	0.47002	138	-1	EventGenerator/eBrem/
2.8526	140	e-	EventGenerator	0.065764
5.2315	140	gamma	eBrem	0.065818
	0.51205	140	-1	EventGenerator/eBrem/
8.6193	141	e-	EventGenerator	0.065632
	0.32683	141	-1	EventGenerator/
0.95998	144	gamma	eBrem	0.065838
8.0545	148	e-	EventGenerator	0.065372
0.62374	148	gamma	eBrem	0.065432
	0.27084	148	-1	EventGenerator/eBrem/
7.7465	149	e-	EventGenerator	0.068063
0.22365	149	gamma	eBrem	0.065761
	0.52429	149	-1	EventGenerator/eBrem/
8.5512	150	e-	EventGenerator	0.068923
0.3445	150	gamma	eBrem	0.065301
	0.2441	150	-1	EventGenerator/eBrem/
0.2798	151	gamma	eBrem	0.065541
8.5988	153	e-	EventGenerator	0.065451
0.17668	153	gamma	eBrem	0.067585
	0.38577	153	-1	EventGenerator/eBrem/
8.8538	155	e-	EventGenerator	0.067366
	0.35371	155	-1	EventGenerator/
7.5757	156	e-	EventGenerator	0.067804
0.1193	156	gamma	eBrem	0.06646
	0.30895	156	-1	EventGenerator/eBrem/
6.2892	158	e-	EventGenerator	0.065876
	0.28155	158	-1	EventGenerator/
2.3665	159	gamma	eBrem	0.06815
2.3524	161	gamma	eBrem	0.068068
7.1732	162	e-	EventGenerator	0.067614
1.6888	162	gamma	eBrem	0.06593
	0.32986	162	-1	EventGenerator/eBrem/
2.1812	166	gamma	eBrem	0.065377
5.427	167	e-	EventGenerator	0.068253
5.427	167	gamma	eBrem	-1e+06
	0.30135	167	-1	EventGenerator/eBrem/
8.4235	168	e-	EventGenerator	0.066662
	0.37581	168	-1	EventGenerator/
0.39213	170	gamma	eBrem	0.065444
0.3012	170	gamma	eBrem	0.066326
0.56404	173	gamma	eBrem	0.065679
0.14252	174	gamma	eBrem	0.065985
0.7599	177	gamma	eBrem	0.065117
8.628	180	e-	EventGenerator	0.067884
	0.35316	180	-1	EventGenerator/
0.27088	184	gamma	eBrem	0.065152
4.3676	185	gamma	eBrem	0.066941
2.0902	189	gamma	eBrem	0.066058
0.85134	191	gamma	eBrem	0.06582
1.4396	192	gamma	eBrem	0.066142
3.1741	193	gamma	eBrem	0.065102
2.5346	193	gamma	eBrem	0.065594
0.30244	195	gamma	eBrem	0.066321
1.1838	196	gamma	eBrem	0.068793
0.28484	199	gamma	eBrem	0.06817
