2.605	3.3e-06
2.615	3e-06
2.625	3.5e-06
2.635	2.9e-06
2.645	2.7e-06
2.655	2.8e-06
2.665	3.4e-06
2.675	2.5e-06
2.685	3.1e-06
2.695	2.7e-06
2.705	4.2e-06
2.715	2.9e-06
2.725	2.5e-06
2.735	3.4e-06
2.745	2.8e-06
2.755	2.5e-06
2.765	3.3e-06
2.775	2e-06
2.785	2.2e-06
2.795	2.8e-06
2.805	2.2e-06
2.815	3.3e-06
2.825	2e-06
2.835	1.8e-06
2.845	2.4e-06
2.855	2.6e-06
2.865	2.5e-06
2.875	1.5e-06
2.885	7e-07
2.895	1.2e-06
2.905	2.4e-06
2.915	2.6e-06
2.925	2.1e-06
2.935	1.1e-06
2.945	1.5e-06
2.955	1e-06
2.965	4e-07
2.975	1.2e-06
2.985	2e-07
2.995	1e-07
3.005	0
