E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
	9.9946	77	-1	EventGenerator/
9.9957	78	proton	EventGenerator	0.44912
	9.9957	78	-1	EventGenerator/
9.9937	79	proton	EventGenerator	0.44914
	9.9937	79	-1	EventGenerator/
9.9929	80	proton	EventGenerator	0.44915
	9.9929	80	-1	EventGenerator/
9.9964	81	proton	EventGenerator	0.44911
	9.9964	81	-1	EventGenerator/
9.9958	82	proton	EventGenerator	0.44912
	9.9958	82	-1	EventGenerator/
9.9954	83	proton	EventGenerator	0.44912
	9.9954	83	-1	EventGenerator/
9.996	84	proton	EventGenerator	0.44912
	9.996	84	-1	EventGenerator/
9.9968	85	proton	EventGenerator	0.44911
	9.9968	85	-1	EventGenerator/
9.9955	86	proton	EventGenerator	0.44912
	9.9955	86	-1	EventGenerator/
9.997	87	proton	EventGenerator	0.44911
	9.997	87	-1	EventGenerator/
9.9958	88	proton	EventGenerator	0.44912
	9.9958	88	-1	EventGenerator/
9.9949	89	proton	EventGenerator	0.44913
	9.9949	89	-1	EventGenerator/
9.9967	90	proton	EventGenerator	0.44911
	9.9967	90	-1	EventGenerator/
9.9949	91	proton	EventGenerator	0.44913
	9.9949	91	-1	EventGenerator/
9.9969	92	proton	EventGenerator	0.44911
	9.9968	92	-1	EventGenerator/
9.9967	93	proton	EventGenerator	0.44911
	9.9967	93	-1	EventGenerator/
9.9947	94	proton	EventGenerator	0.44913
	9.9947	94	-1	EventGenerator/
9.9959	95	proton	EventGenerator	0.44912
	9.9959	95	-1	EventGenerator/
9.9972	96	proton	EventGenerator	0.44911
	9.9972	96	-1	EventGenerator/
9.9976	97	proton	EventGenerator	0.4491
	9.9975	97	-1	EventGenerator/
9.9952	98	proton	EventGenerator	0.44913
	9.9952	98	-1	EventGenerator/
9.9898	99	proton	EventGenerator	0.44918
	9.9898	99	-1	EventGenerator/
9.9959	0	proton	EventGenerator	0.44912
	9.9959	0	-1	EventGenerator/
9.9961	1	proton	EventGenerator	0.44912
	9.996	1	-1	EventGenerator/
9.9953	2	proton	EventGenerator	0.44913
	9.9953	2	-1	EventGenerator/
9.9938	3	proton	EventGenerator	0.44914
	9.9938	3	-1	EventGenerator/
9.9962	4	proton	EventGenerator	0.44912
	9.9962	4	-1	EventGenerator/
9.9978	5	proton	EventGenerator	0.4491
	9.9978	5	-1	EventGenerator/
9.9957	6	proton	EventGenerator	0.44912
9.9957	6	Si28	hadElastic	-1e+06
	9.9957	6	-1	EventGenerator/hadElastic/
9.9972	7	proton	EventGenerator	0.44911
	9.9972	7	-1	EventGenerator/
9.9971	8	proton	EventGenerator	0.44911
	9.9971	8	-1	EventGenerator/
9.9964	9	proton	EventGenerator	0.44911
	9.9964	9	-1	EventGenerator/
9.9969	10	proton	EventGenerator	0.44911
9.9969	10	proton	protonInelastic	-1e+06
9.9969	10	gamma	protonInelastic	-1e+06
9.9969	10	gamma	protonInelastic	-1e+06
9.9969	10	gamma	protonInelastic	-1e+06
9.9969	10	Si28	protonInelastic	-1e+06
	4.3031	10	-1	EventGenerator/protonInelastic/protonInelastic/protonInelastic/protonInelastic/protonInelastic/
9.9954	11	proton	EventGenerator	0.44912
	9.9954	11	-1	EventGenerator/
9.997	12	proton	EventGenerator	0.44911
	9.997	12	-1	EventGenerator/
9.9942	13	proton	EventGenerator	0.44914
	9.9942	13	-1	EventGenerator/
9.9969	14	proton	EventGenerator	0.44911
	9.9969	14	-1	EventGenerator/
9.9969	15	proton	EventGenerator	0.44911
	9.9969	15	-1	EventGenerator/
9.9976	16	proton	EventGenerator	0.4491
	9.9976	16	-1	EventGenerator/
9.9882	17	proton	EventGenerator	0.44921
	9.9882	17	-1	EventGenerator/
9.9968	18	proton	EventGenerator	0.44911
	9.9968	18	-1	EventGenerator/
9.9868	19	proton	EventGenerator	0.44922
0.0071461	19	e-	hIoni	0.4371
	9.9939	19	-1	EventGenerator/hIoni/
9.9976	20	proton	EventGenerator	0.4491
	9.9976	20	-1	EventGenerator/
9.9953	21	proton	EventGenerator	0.44913
	9.9953	21	-1	EventGenerator/
9.9954	22	proton	EventGenerator	0.44913
	9.9954	22	-1	EventGenerator/
9.9967	23	proton	EventGenerator	0.44911
	9.9967	23	-1	EventGenerator/
9.9938	24	proton	EventGenerator	0.44914
	9.9938	24	-1	EventGenerator/
9.9723	25	proton	EventGenerator	0.44938
0.018518	25	e-	hIoni	0.35934
	9.9824	25	-1	EventGenerator/hIoni/
9.9972	26	proton	EventGenerator	0.44911
	9.9972	26	-1	EventGenerator/
9.996	27	proton	EventGenerator	0.44912
	9.996	27	-1	EventGenerator/
9.9929	28	proton	EventGenerator	0.44915
	9.9929	28	-1	EventGenerator/
9.9957	29	proton	EventGenerator	0.44912
	9.9957	29	-1	EventGenerator/
9.9952	30	proton	EventGenerator	0.44913
	9.9952	30	-1	EventGenerator/
9.9959	31	proton	EventGenerator	0.44912
	9.9959	31	-1	EventGenerator/
9.9957	32	proton	EventGenerator	0.44912
	9.9957	32	-1	EventGenerator/
9.9958	33	proton	EventGenerator	0.44912
	9.9958	33	-1	EventGenerator/
9.9958	34	proton	EventGenerator	0.44912
	9.9958	34	-1	EventGenerator/
9.9929	35	proton	EventGenerator	0.44915
	9.9929	35	-1	EventGenerator/
9.9973	36	proton	EventGenerator	0.44911
	9.9973	36	-1	EventGenerator/
9.9964	37	proton	EventGenerator	0.44911
	9.9964	37	-1	EventGenerator/
9.9971	38	proton	EventGenerator	0.44911
	9.9971	38	-1	EventGenerator/
9.9954	39	proton	EventGenerator	0.44913
	9.9954	39	-1	EventGenerator/
9.9967	40	proton	EventGenerator	0.44911
	9.9966	40	-1	EventGenerator/
9.9965	41	proton	EventGenerator	0.44911
	9.9965	41	-1	EventGenerator/
9.9956	42	proton	EventGenerator	0.44912
	9.9956	42	-1	EventGenerator/
9.997	43	proton	EventGenerator	0.44911
	9.997	43	-1	EventGenerator/
9.9952	44	proton	EventGenerator	0.44913
	9.9952	44	-1	EventGenerator/
