E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
7.987	1	proton	EventGenerator	9.6893
7.9074	3	proton	EventGenerator	9.7196
7.9404	6	proton	EventGenerator	9.7022
7.7917	8	proton	EventGenerator	9.7333
8.0106	14	proton	EventGenerator	9.6926
7.8632	16	proton	EventGenerator	9.7258
7.898	18	proton	EventGenerator	9.7432
8.0011	19	proton	EventGenerator	9.6856
8.038	27	proton	EventGenerator	9.6823
8.0208	28	proton	EventGenerator	9.685
7.9052	33	proton	EventGenerator	9.725
7.8724	34	proton	EventGenerator	9.7137
7.8693	37	proton	EventGenerator	9.7259
7.877	38	proton	EventGenerator	9.739
7.9594	42	proton	EventGenerator	9.7037
7.8411	44	proton	EventGenerator	9.7267
7.9445	47	proton	EventGenerator	9.6977
7.7467	49	proton	EventGenerator	9.7717
7.8054	53	proton	EventGenerator	9.7447
7.8748	54	proton	EventGenerator	9.7315
7.8105	56	proton	EventGenerator	9.7405
7.9255	61	proton	EventGenerator	9.7123
7.9773	65	proton	EventGenerator	9.682
7.9428	66	proton	EventGenerator	9.7178
7.9206	70	proton	EventGenerator	9.7346
7.9822	71	proton	EventGenerator	9.6975
7.8661	73	proton	EventGenerator	9.7291
7.958	75	proton	EventGenerator	9.7114
7.9117	76	proton	EventGenerator	9.7187
7.9962	81	proton	EventGenerator	9.7056
7.88	82	proton	EventGenerator	9.7097
7.8823	83	proton	EventGenerator	9.7284
7.8479	84	proton	EventGenerator	9.7379
7.9284	85	proton	EventGenerator	9.7199
7.787	87	proton	EventGenerator	9.7406
7.8321	88	proton	EventGenerator	9.7498
7.9355	92	proton	EventGenerator	9.708
7.9191	98	proton	EventGenerator	9.7148
7.9239	1	proton	EventGenerator	9.7159
7.8715	4	proton	EventGenerator	9.7633
7.8705	8	proton	EventGenerator	9.7188
7.9302	9	proton	EventGenerator	9.7157
7.9644	13	proton	EventGenerator	9.7096
7.8725	14	proton	EventGenerator	9.7244
7.9018	15	proton	EventGenerator	9.7134
7.8667	16	proton	EventGenerator	9.7373
7.9027	18	proton	EventGenerator	9.7116
7.9788	19	proton	EventGenerator	9.7066
7.8404	22	proton	EventGenerator	9.7266
7.8665	25	proton	EventGenerator	9.732
7.8618	29	proton	EventGenerator	9.7512
7.9369	30	proton	EventGenerator	9.7327
7.9661	32	proton	EventGenerator	9.7095
7.9502	35	proton	EventGenerator	9.6993
7.7708	37	proton	EventGenerator	9.7606
7.9084	38	proton	EventGenerator	9.7203
7.9249	43	proton	EventGenerator	9.7239
7.9362	44	proton	EventGenerator	9.715
7.8902	45	proton	EventGenerator	9.7337
8.0146	48	proton	EventGenerator	9.6908
7.8642	49	proton	EventGenerator	9.7357
7.8351	50	proton	EventGenerator	9.7465
7.8818	53	proton	EventGenerator	9.7326
7.7829	56	proton	EventGenerator	9.7475
7.9587	58	proton	EventGenerator	9.7067
7.9258	59	proton	EventGenerator	9.7237
7.988	63	proton	EventGenerator	9.7045
7.8491	64	proton	EventGenerator	9.7173
7.8844	65	proton	EventGenerator	9.7157
7.9445	69	proton	EventGenerator	9.7084
8.0179	72	proton	EventGenerator	9.6748
7.8592	74	proton	EventGenerator	9.7422
7.8689	76	proton	EventGenerator	9.7196
7.8628	78	proton	EventGenerator	9.7411
7.8639	79	proton	EventGenerator	9.7297
7.9911	82	proton	EventGenerator	9.6821
7.9646	84	proton	EventGenerator	9.7028
7.9361	89	proton	EventGenerator	9.6986
7.8706	95	proton	EventGenerator	9.7303
7.8657	96	proton	EventGenerator	9.7412
7.866	98	proton	EventGenerator	9.7578
8.0181	100	proton	EventGenerator	9.7228
8.0185	101	proton	EventGenerator	9.6805
7.9012	104	proton	EventGenerator	9.707
7.7895	112	proton	EventGenerator	9.7499
7.9191	117	proton	EventGenerator	9.7189
7.9219	119	proton	EventGenerator	9.7081
7.7939	120	proton	EventGenerator	9.7367
7.8523	121	proton	EventGenerator	9.7337
7.9597	126	proton	EventGenerator	9.7032
7.7893	127	proton	EventGenerator	9.742
7.867	128	proton	EventGenerator	9.7367
7.9914	134	proton	EventGenerator	9.6866
7.9488	136	proton	EventGenerator	9.7056
7.811	137	proton	EventGenerator	9.7593
7.7333	140	proton	EventGenerator	9.7652
7.9205	143	proton	EventGenerator	9.7169
7.9233	144	proton	EventGenerator	9.6956
7.7243	146	proton	EventGenerator	9.7812
7.9429	152	proton	EventGenerator	9.7242
8.0604	155	proton	EventGenerator	9.6627
7.8901	158	proton	EventGenerator	9.7304
7.9595	161	proton	EventGenerator	9.7084
7.8874	164	proton	EventGenerator	9.7029
7.8649	167	proton	EventGenerator	9.7229
7.9102	168	proton	EventGenerator	9.7109
7.9084	169	proton	EventGenerator	9.7239
8.0216	174	proton	EventGenerator	9.6773
7.8482	176	proton	EventGenerator	9.7351
7.8724	179	proton	EventGenerator	9.7307
7.8379	182	proton	EventGenerator	9.7394
7.9432	183	proton	EventGenerator	9.7152
7.7673	184	proton	EventGenerator	9.7726
7.889	191	proton	EventGenerator	9.7395
7.972	196	proton	EventGenerator	9.7076
7.9568	202	proton	EventGenerator	9.6925
7.9503	205	proton	EventGenerator	9.6959
7.9667	215	proton	EventGenerator	9.7144
7.9664	216	proton	EventGenerator	9.7082
7.8987	217	proton	EventGenerator	9.7498
7.8173	219	proton	EventGenerator	9.7526
7.9219	222	proton	EventGenerator	9.7105
7.9472	225	proton	EventGenerator	9.6894
7.9145	226	proton	EventGenerator	9.7149
7.9215	227	proton	EventGenerator	9.7122
7.8565	228	proton	EventGenerator	9.7298
7.9304	229	proton	EventGenerator	9.7338
7.7891	230	proton	EventGenerator	9.7669
7.8907	231	proton	EventGenerator	9.7334
7.9599	232	proton	EventGenerator	9.6998
7.899	234	proton	EventGenerator	9.7178
7.9789	238	proton	EventGenerator	9.7034
7.8104	240	proton	EventGenerator	9.7431
8.024	241	proton	EventGenerator	9.7045
7.7849	242	proton	EventGenerator	9.7567
7.969	243	proton	EventGenerator	9.6991
7.8581	244	proton	EventGenerator	9.7159
7.8649	248	proton	EventGenerator	9.7138
7.7408	249	proton	EventGenerator	9.7694
7.8032	251	proton	EventGenerator	9.7483
7.9324	252	proton	EventGenerator	9.7122
7.6704	255	proton	EventGenerator	9.7961
7.9633	256	proton	EventGenerator	9.6895
7.9334	258	proton	EventGenerator	9.7065
7.903	259	proton	EventGenerator	9.721
7.8303	262	proton	EventGenerator	9.7151
7.8942	263	proton	EventGenerator	9.7159
7.9596	264	proton	EventGenerator	9.7192
7.8702	268	proton	EventGenerator	9.7272
7.7968	271	proton	EventGenerator	9.7543
7.8384	272	proton	EventGenerator	9.73
7.8994	273	proton	EventGenerator	9.7267
7.8305	275	proton	EventGenerator	9.7396
7.9653	276	proton	EventGenerator	9.7001
8.0281	277	proton	EventGenerator	9.6967
7.9197	278	proton	EventGenerator	9.7113
7.9318	279	proton	EventGenerator	9.7054
7.8811	295	proton	EventGenerator	9.7256
7.8674	297	proton	EventGenerator	9.7198
7.9898	298	proton	EventGenerator	9.676
7.8325	302	proton	EventGenerator	9.7499
7.8434	303	proton	EventGenerator	9.7452
7.8922	306	proton	EventGenerator	9.725
7.9689	309	proton	EventGenerator	9.71
7.9305	310	proton	EventGenerator	9.7157
7.9274	312	proton	EventGenerator	9.7276
7.8133	313	proton	EventGenerator	9.7528
7.7738	314	proton	EventGenerator	9.7573
7.9639	318	proton	EventGenerator	9.7062
7.8185	319	proton	EventGenerator	9.7593
7.9484	320	proton	EventGenerator	9.7152
7.8808	321	proton	EventGenerator	9.7481
