E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
2.5186	24	proton	EventGenerator	31.024
2.6365	81	proton	EventGenerator	30.803
2.1499	34	proton	EventGenerator	31.507
2.3239	151	proton	EventGenerator	31.254
2.2969	217	proton	EventGenerator	31.294
2.2176	263	proton	EventGenerator	31.473
1.8434	286	proton	EventGenerator	31.957
2.2512	289	proton	EventGenerator	31.416
2.5804	390	proton	EventGenerator	30.945
2.6973	490	proton	EventGenerator	30.873
2.794	525	proton	EventGenerator	30.648
2.3882	726	proton	EventGenerator	31.05
2.5759	766	proton	EventGenerator	31.029
2.4786	873	proton	EventGenerator	31.047
2.036	951	proton	EventGenerator	31.747
2.5069	979	proton	EventGenerator	31.001
2.1536	984	proton	EventGenerator	31.46
2.3519	1005	proton	EventGenerator	31.265
2.2768	1072	proton	EventGenerator	31.297
2.6307	1284	proton	EventGenerator	30.908
2.1017	1290	proton	EventGenerator	31.613
2.1772	1298	proton	EventGenerator	31.422
2.5663	1312	proton	EventGenerator	30.878
2.5242	1315	proton	EventGenerator	31.057
2.6392	1404	proton	EventGenerator	30.692
2.3086	1433	proton	EventGenerator	31.308
2.461	1463	proton	EventGenerator	31.086
2.4203	1484	proton	EventGenerator	31.109
2.2706	1488	proton	EventGenerator	31.253
2.6818	1582	proton	EventGenerator	30.882
2.741	1597	proton	EventGenerator	30.705
1.758	1642	proton	EventGenerator	32.185
2.3522	1659	proton	EventGenerator	31.148
2.6991	1759	proton	EventGenerator	30.704
2.3568	1785	proton	EventGenerator	31.297
2.2979	1796	proton	EventGenerator	31.128
2.2281	1812	proton	EventGenerator	31.286
2.7103	1815	proton	EventGenerator	30.781
2.2358	1825	proton	EventGenerator	31.423
2.4815	1838	proton	EventGenerator	31.057
2.828	1859	proton	EventGenerator	30.621
2.063	1891	proton	EventGenerator	31.697
2.4274	1922	proton	EventGenerator	31.255
2.1335	1939	proton	EventGenerator	31.563
2.5853	2015	proton	EventGenerator	31.023
2.5787	2139	proton	EventGenerator	30.894
2.7219	2166	proton	EventGenerator	30.647
2.5319	2171	proton	EventGenerator	31.019
2.5088	2200	proton	EventGenerator	30.976
2.6296	2282	proton	EventGenerator	30.873
2.1355	2331	proton	EventGenerator	31.408
2.7403	2374	proton	EventGenerator	30.524
2.6444	2398	proton	EventGenerator	30.985
2.2737	2467	proton	EventGenerator	31.296
2.7262	2474	proton	EventGenerator	30.765
2.6541	2514	proton	EventGenerator	30.808
2.7173	2593	proton	EventGenerator	30.607
2.2793	2603	proton	EventGenerator	31.288
2.2089	2630	proton	EventGenerator	31.314
2.6041	2634	proton	EventGenerator	30.881
2.3299	2770	proton	EventGenerator	31.133
2.3806	2793	proton	EventGenerator	31.095
2.2542	2794	proton	EventGenerator	31.392
2.3347	2894	proton	EventGenerator	31.329
2.2181	2917	proton	EventGenerator	31.286
2.6393	2928	proton	EventGenerator	30.786
2.5039	2968	proton	EventGenerator	31.135
2.4163	2969	proton	EventGenerator	31.078
2.6951	2979	proton	EventGenerator	30.752
2.1554	3019	proton	EventGenerator	31.411
2.4166	3036	proton	EventGenerator	31.25
2.3429	3041	proton	EventGenerator	31.119
2.0262	3134	proton	EventGenerator	31.623
2.5203	3148	proton	EventGenerator	30.96
2.3885	3189	proton	EventGenerator	31.266
2.2057	3195	proton	EventGenerator	31.371
2.5432	3209	proton	EventGenerator	30.798
2.5782	3254	proton	EventGenerator	31
2.4768	3272	proton	EventGenerator	30.927
2.2535	3308	proton	EventGenerator	31.405
1.9028	3381	proton	EventGenerator	31.925
2.7452	3426	proton	EventGenerator	30.705
2.6755	3432	proton	EventGenerator	30.75
2.3057	3596	proton	EventGenerator	31.344
2.4051	3611	proton	EventGenerator	31.144
2.6352	3643	proton	EventGenerator	30.732
2.8173	3687	proton	EventGenerator	30.574
2.0994	3689	proton	EventGenerator	31.574
2.1879	3746	proton	EventGenerator	31.495
2.2187	3904	proton	EventGenerator	31.49
2.7052	3944	proton	EventGenerator	30.856
2.6141	3988	proton	EventGenerator	30.834
2.4672	3992	proton	EventGenerator	31.023
2.6583	4055	proton	EventGenerator	30.801
2.3056	4081	proton	EventGenerator	31.226
