0.002	0.00919812
0.006	0.0272939
0.01	0.043844
0.014	0.0617937
0.018	0.0775354
0.022	0.0992889
0.026	0.111905
0.03	0.125922
0.034	0.143246
0.038	0.159419
0.042	0.168317
0.046	0.188831
0.05	0.195896
0.054	0.21017
0.058	0.227267
0.062	0.245225
0.066	0.25206
0.07	0.27416
0.074	0.275174
0.078	0.288191
0.082	0.298599
0.086	0.297607
0.09	0.295356
0.094	0.325425
0.098	0.323139
0.102	0.330756
0.106	0.343614
0.11	0.357227
0.114	0.356223
0.118	0.386606
0.122	0.368549
0.126	0.390437
0.13	0.39734
0.134	0.414683
0.138	0.398324
0.142	0.409995
0.146	0.408324
0.15	0.401884
0.154	0.428275
0.158	0.405266
0.162	0.417692
0.166	0.441615
0.17	0.442233
0.174	0.439321
0.178	0.410623
0.182	0.436427
0.186	0.442726
0.19	0.474862
0.194	0.439332
0.198	0.421526
0.202	0.46173
0.206	0.435113
0.21	0.431327
0.214	0.440605
0.218	0.441739
0.222	0.402586
0.226	0.440038
0.23	0.43049
0.234	0.445094
0.238	0.410383
0.242	0.431972
0.246	0.416241
0.25	0.419983
0.254	0.414879
0.258	0.405613
0.262	0.405215
0.266	0.393315
0.27	0.361396
0.274	0.409928
0.278	0.391632
0.282	0.379341
0.286	0.382669
0.29	0.356836
0.294	0.331562
0.298	0.361116
0.302	0.328625
0.306	0.335946
0.31	0.348881
0.314	0.327741
0.318	0.305087
0.322	0.296863
0.326	0.281479
0.33	0.283262
0.334	0.296199
0.338	0.268073
0.342	0.262418
0.346	0.233163
0.35	0.228491
0.354	0.202935
0.358	0.191845
0.362	0.165178
0.366	0.125991
0.37	0.141112
0.374	0.12514
0.378	0.10354
0.382	0.084033
0.386	0.0650435
0.39	0.0492819
0.394	0.0414597
0.398	0.0130241
