E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
3.9635	77	proton	EventGenerator	0.57321
	3.9634	77	-1	EventGenerator/
3.7725	78	proton	EventGenerator	0.58109
	3.7725	78	-1	EventGenerator/
4.0899	79	proton	EventGenerator	0.5681
	4.0899	79	-1	EventGenerator/
3.9888	80	proton	EventGenerator	0.57135
	3.9888	80	-1	EventGenerator/
3.9346	81	proton	EventGenerator	0.57373
	3.9346	81	-1	EventGenerator/
3.7685	82	proton	EventGenerator	0.58098
	3.7685	82	-1	EventGenerator/
4.2526	83	proton	EventGenerator	0.56129
	4.2526	83	-1	EventGenerator/
3.8368	84	proton	EventGenerator	0.57944
	3.8368	84	-1	EventGenerator/
3.954	85	proton	EventGenerator	0.57266
	3.9539	85	-1	EventGenerator/
3.929	86	proton	EventGenerator	0.57512
	3.929	86	-1	EventGenerator/
3.9361	87	proton	EventGenerator	0.57416
	3.9361	87	-1	EventGenerator/
3.8551	88	proton	EventGenerator	0.57768
	3.855	88	-1	EventGenerator/
3.8062	89	proton	EventGenerator	0.58092
	3.8062	89	-1	EventGenerator/
3.8054	90	proton	EventGenerator	0.57947
	3.8054	90	-1	EventGenerator/
4.0364	91	proton	EventGenerator	0.56949
	4.0363	91	-1	EventGenerator/
3.9021	92	proton	EventGenerator	0.57541
	3.9021	92	-1	EventGenerator/
3.9235	93	proton	EventGenerator	0.57411
	3.9235	93	-1	EventGenerator/
3.7564	94	proton	EventGenerator	0.58141
	3.7564	94	-1	EventGenerator/
3.4357	95	proton	EventGenerator	0.61205
	3.4357	95	-1	EventGenerator/
3.8274	96	proton	EventGenerator	0.57875
	3.8274	96	-1	EventGenerator/
3.9291	97	proton	EventGenerator	0.57425
	3.9291	97	-1	EventGenerator/
4.0399	98	proton	EventGenerator	0.56922
	4.0399	98	-1	EventGenerator/
4.0527	99	proton	EventGenerator	0.56963
	4.0527	99	-1	EventGenerator/
4.0429	0	proton	EventGenerator	0.57022
	4.0429	0	-1	EventGenerator/
3.8219	1	proton	EventGenerator	0.57899
	3.8219	1	-1	EventGenerator/
3.9093	2	proton	EventGenerator	0.57475
	3.9093	2	-1	EventGenerator/
3.9546	3	proton	EventGenerator	0.57301
	3.9546	3	-1	EventGenerator/
3.8693	4	proton	EventGenerator	0.57633
	3.8693	4	-1	EventGenerator/
3.8685	5	proton	EventGenerator	0.57778
	3.8685	5	-1	EventGenerator/
3.9169	6	proton	EventGenerator	0.5742
	3.9169	6	-1	EventGenerator/
3.8634	7	proton	EventGenerator	0.57664
	3.8634	7	-1	EventGenerator/
3.8837	8	proton	EventGenerator	0.57593
	3.8836	8	-1	EventGenerator/
3.9615	9	proton	EventGenerator	0.57259
	3.9614	9	-1	EventGenerator/
3.9386	10	proton	EventGenerator	0.57336
	3.9386	10	-1	EventGenerator/
3.877	11	proton	EventGenerator	0.5761
	3.877	11	-1	EventGenerator/
4.1111	12	proton	EventGenerator	0.56722
	4.1111	12	-1	EventGenerator/
3.8833	13	proton	EventGenerator	0.57613
	3.8832	13	-1	EventGenerator/
4.022	14	proton	EventGenerator	0.56985
	4.022	14	-1	EventGenerator/
4.0602	15	proton	EventGenerator	0.57117
	4.0602	15	-1	EventGenerator/
3.914	16	proton	EventGenerator	0.57506
	3.914	16	-1	EventGenerator/
3.9634	17	proton	EventGenerator	0.57294
	3.9633	17	-1	EventGenerator/
3.9521	18	proton	EventGenerator	0.57311
	3.9521	18	-1	EventGenerator/
4.1868	19	proton	EventGenerator	0.5634
	4.1868	19	-1	EventGenerator/
3.8899	20	proton	EventGenerator	0.57569
	3.8899	20	-1	EventGenerator/
3.7829	21	proton	EventGenerator	0.58043
	3.7828	21	-1	EventGenerator/
3.8366	22	proton	EventGenerator	0.57775
	3.8366	22	-1	EventGenerator/
3.8924	23	proton	EventGenerator	0.57523
	3.8923	23	-1	EventGenerator/
3.8652	24	proton	EventGenerator	0.57686
	3.8652	24	-1	EventGenerator/
3.9378	25	proton	EventGenerator	0.57424
	3.9378	25	-1	EventGenerator/
3.8313	26	proton	EventGenerator	0.57847
	3.8313	26	-1	EventGenerator/
3.9283	27	proton	EventGenerator	0.57378
	3.9283	27	-1	EventGenerator/
3.6332	28	proton	EventGenerator	0.58715
	3.6332	28	-1	EventGenerator/
3.9497	29	proton	EventGenerator	0.57436
	3.9497	29	-1	EventGenerator/
4.0503	30	proton	EventGenerator	0.56879
	4.0503	30	-1	EventGenerator/
3.6353	31	proton	EventGenerator	0.58746
	3.6353	31	-1	EventGenerator/
4.0226	32	proton	EventGenerator	0.57087
	4.0226	32	-1	EventGenerator/
3.8779	33	proton	EventGenerator	0.57672
	3.8779	33	-1	EventGenerator/
3.8673	34	proton	EventGenerator	0.57653
	3.8673	34	-1	EventGenerator/
3.7347	35	proton	EventGenerator	0.58244
	3.7347	35	-1	EventGenerator/
4.0762	36	proton	EventGenerator	0.5685
	4.0762	36	-1	EventGenerator/
3.9148	37	proton	EventGenerator	0.57478
	3.9148	37	-1	EventGenerator/
3.7792	38	proton	EventGenerator	0.58035
	3.7792	38	-1	EventGenerator/
3.8873	39	proton	EventGenerator	0.5755
	3.8873	39	-1	EventGenerator/
4.1979	40	proton	EventGenerator	0.56335
	4.1979	40	-1	EventGenerator/
4.0537	41	proton	EventGenerator	0.56921
	4.0537	41	-1	EventGenerator/
4.0145	42	proton	EventGenerator	0.57041
	4.0145	42	-1	EventGenerator/
3.9717	43	proton	EventGenerator	0.57211
	3.9717	43	-1	EventGenerator/
3.9484	44	proton	EventGenerator	0.57292
	3.9484	44	-1	EventGenerator/
4.1191	45	proton	EventGenerator	0.56629
	4.1191	45	-1	EventGenerator/
3.7575	46	proton	EventGenerator	0.58153
	3.7575	46	-1	EventGenerator/
3.6585	47	proton	EventGenerator	0.58603
	3.6585	47	-1	EventGenerator/
3.8192	48	proton	EventGenerator	0.57845
	3.8192	48	-1	EventGenerator/
3.8886	49	proton	EventGenerator	0.57591
	3.8886	49	-1	EventGenerator/
3.925	50	proton	EventGenerator	0.57421
	3.925	50	-1	EventGenerator/
4.0276	51	proton	EventGenerator	0.56985
	4.0276	51	-1	EventGenerator/
4.1464	52	proton	EventGenerator	0.56486
	4.1464	52	-1	EventGenerator/
3.8858	53	proton	EventGenerator	0.57662
	3.8858	53	-1	EventGenerator/
4.1178	54	proton	EventGenerator	0.56653
	4.1178	54	-1	EventGenerator/
3.7838	55	proton	EventGenerator	0.58037
	3.7838	55	-1	EventGenerator/
3.9985	56	proton	EventGenerator	0.57226
	3.9985	56	-1	EventGenerator/
3.8005	57	proton	EventGenerator	0.57953
	3.8005	57	-1	EventGenerator/
4.1182	58	proton	EventGenerator	0.56627
	4.1182	58	-1	EventGenerator/
3.7947	59	proton	EventGenerator	0.57951
	3.7947	59	-1	EventGenerator/
4.0919	60	proton	EventGenerator	0.56713
	4.0919	60	-1	EventGenerator/
3.6535	61	proton	EventGenerator	0.58711
	3.6535	61	-1	EventGenerator/
3.9573	62	proton	EventGenerator	0.57267
	3.9573	62	-1	EventGenerator/
3.796	63	proton	EventGenerator	0.58211
	3.796	63	-1	EventGenerator/
3.9443	64	proton	EventGenerator	0.57317
	3.9442	64	-1	EventGenerator/
3.9331	65	proton	EventGenerator	0.57451
	3.9331	65	-1	EventGenerator/
3.8229	66	proton	EventGenerator	0.579
	3.8229	66	-1	EventGenerator/
3.9173	67	proton	EventGenerator	0.57468
	3.9173	67	-1	EventGenerator/
3.7432	68	proton	EventGenerator	0.58189
	3.7432	68	-1	EventGenerator/
4.2233	69	proton	EventGenerator	0.56259
	4.2233	69	-1	EventGenerator/
3.877	70	proton	EventGenerator	0.57748
	3.877	70	-1	EventGenerator/
3.8238	71	proton	EventGenerator	0.57836
	3.8238	71	-1	EventGenerator/
3.8123	72	proton	EventGenerator	0.57907
	3.8122	72	-1	EventGenerator/
4.0509	73	proton	EventGenerator	0.56885
	4.0509	73	-1	EventGenerator/
4.2361	74	proton	EventGenerator	0.56176
	4.2361	74	-1	EventGenerator/
3.947	75	proton	EventGenerator	0.57334
	3.947	75	-1	EventGenerator/
3.6603	76	proton	EventGenerator	0.5862
	3.6602	76	-1	EventGenerator/
3.5852	77	proton	EventGenerator	0.58975
	3.5852	77	-1	EventGenerator/
4.0705	78	proton	EventGenerator	0.56829
	4.0705	78	-1	EventGenerator/
4.0156	79	proton	EventGenerator	0.57013
	4.0156	79	-1	EventGenerator/
3.9859	80	proton	EventGenerator	0.57135
	3.9859	80	-1	EventGenerator/
3.8797	81	proton	EventGenerator	0.57591
	3.8797	81	-1	EventGenerator/
3.8753	82	proton	EventGenerator	0.57898
	3.8753	82	-1	EventGenerator/
3.9223	83	proton	EventGenerator	0.5741
	3.9223	83	-1	EventGenerator/
3.5977	84	proton	EventGenerator	0.58891
	3.5976	84	-1	EventGenerator/
3.9097	85	proton	EventGenerator	0.57474
	3.9097	85	-1	EventGenerator/
3.8981	86	proton	EventGenerator	0.57527
	3.8981	86	-1	EventGenerator/
3.767	87	proton	EventGenerator	0.58084
	3.767	87	-1	EventGenerator/
3.0985	88	proton	EventGenerator	0.65704
	3.0985	88	-1	EventGenerator/
3.9137	89	proton	EventGenerator	0.57443
	3.9137	89	-1	EventGenerator/
