E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
3.2174	5	proton	EventGenerator	28.24
3.1072	14	proton	EventGenerator	28.386
3.4778	62	proton	EventGenerator	27.91
3.6871	88	proton	EventGenerator	27.753
3.4003	95	proton	EventGenerator	28.09
3.0111	36	proton	EventGenerator	28.426
3.0995	84	proton	EventGenerator	28.247
3.1233	112	proton	EventGenerator	28.291
3.7238	118	proton	EventGenerator	27.651
3.4508	125	proton	EventGenerator	27.897
3.1418	163	proton	EventGenerator	28.341
3.2494	254	proton	EventGenerator	28.204
3.3341	290	proton	EventGenerator	28.085
3.256	303	proton	EventGenerator	28.14
3.1825	321	proton	EventGenerator	28.335
3.416	329	proton	EventGenerator	27.978
3.2117	343	proton	EventGenerator	28.32
3.3985	407	proton	EventGenerator	27.94
3.3822	428	proton	EventGenerator	27.992
3.5301	461	proton	EventGenerator	27.802
3.3008	464	proton	EventGenerator	28.276
3.1348	524	proton	EventGenerator	28.346
3.3683	548	proton	EventGenerator	28
2.9351	561	proton	EventGenerator	28.63
3.3135	646	proton	EventGenerator	28.128
3.5376	689	proton	EventGenerator	27.827
3.1265	706	proton	EventGenerator	28.386
3.3586	743	proton	EventGenerator	28.063
3.5106	835	proton	EventGenerator	27.914
3.2604	949	proton	EventGenerator	28.16
3.4681	981	proton	EventGenerator	27.92
3.2939	1024	proton	EventGenerator	28.198
3.1207	1047	proton	EventGenerator	28.335
2.9895	1062	proton	EventGenerator	28.524
3.3666	1113	proton	EventGenerator	28.025
3.4826	1118	proton	EventGenerator	27.905
3.4956	1129	proton	EventGenerator	27.885
3.3689	1160	proton	EventGenerator	28.064
3.285	1227	proton	EventGenerator	28.1
3.2839	1411	proton	EventGenerator	28.114
3.0935	1429	proton	EventGenerator	28.357
3.2056	1512	proton	EventGenerator	28.156
3.4991	1528	proton	EventGenerator	27.828
3.2274	1535	proton	EventGenerator	28.165
3.1837	1565	proton	EventGenerator	28.438
3.4228	1629	proton	EventGenerator	27.922
3.4645	1639	proton	EventGenerator	27.972
3.002	1664	proton	EventGenerator	28.387
3.2291	1674	proton	EventGenerator	28.193
3.2336	1701	proton	EventGenerator	28.359
3.2508	1733	proton	EventGenerator	28.134
3.1779	1908	proton	EventGenerator	28.227
3.4424	1916	proton	EventGenerator	28.049
2.9094	1924	proton	EventGenerator	28.505
3.3547	1932	proton	EventGenerator	28.028
3.2691	1945	proton	EventGenerator	28.158
3.2191	1964	proton	EventGenerator	28.209
3.6208	2065	proton	EventGenerator	27.809
3.3863	2118	proton	EventGenerator	28.04
3.3423	2139	proton	EventGenerator	27.977
2.8797	2145	proton	EventGenerator	28.573
3.5297	2153	proton	EventGenerator	27.883
3.5041	2165	proton	EventGenerator	27.86
3.3152	2204	proton	EventGenerator	28.111
3.5454	2249	proton	EventGenerator	27.833
3.267	2345	proton	EventGenerator	28.144
3.6471	2367	proton	EventGenerator	27.761
3.267	2472	proton	EventGenerator	28.169
3.15	2488	proton	EventGenerator	28.349
3.3267	2489	proton	EventGenerator	28.093
3.372	2493	proton	EventGenerator	28.023
3.737	2574	proton	EventGenerator	27.654
3.3972	2577	proton	EventGenerator	28.094
3.3827	2598	proton	EventGenerator	28.094
2.94	2637	proton	EventGenerator	28.632
2.9896	2681	proton	EventGenerator	28.46
3.3932	2691	proton	EventGenerator	28.033
3.4062	2698	proton	EventGenerator	28.11
3.2719	2824	proton	EventGenerator	28.19
3.3546	2825	proton	EventGenerator	28.063
3.2759	2866	proton	EventGenerator	28.312
3.1465	2887	proton	EventGenerator	28.283
3.5336	2951	proton	EventGenerator	27.936
3.309	2983	proton	EventGenerator	28.098
3.2457	3175	proton	EventGenerator	28.149
3.1695	3176	proton	EventGenerator	28.352
3.3426	3308	proton	EventGenerator	28.038
3.1502	3319	proton	EventGenerator	28.408
3.1195	3349	proton	EventGenerator	28.327
3.775	3358	proton	EventGenerator	27.553
2.8236	3370	proton	EventGenerator	28.695
3.4779	3377	proton	EventGenerator	27.892
3.7972	3475	proton	EventGenerator	27.468
3.0311	3527	proton	EventGenerator	28.473
3.4398	3535	proton	EventGenerator	27.999
2.843	3565	proton	EventGenerator	28.628
3.5019	3644	proton	EventGenerator	27.865
3.0836	3654	proton	EventGenerator	28.47
3.1325	3680	proton	EventGenerator	28.311
3.2999	3751	proton	EventGenerator	28.122
3.0356	3781	proton	EventGenerator	28.401
3.3335	3819	proton	EventGenerator	28.101
3.4262	3839	proton	EventGenerator	28.031
3.5071	3851	proton	EventGenerator	27.899
3.2699	3857	proton	EventGenerator	28.119
3.0859	3886	proton	EventGenerator	28.437
3.2393	3887	proton	EventGenerator	28.163
3.2512	3962	proton	EventGenerator	28.202
3.55	3979	proton	EventGenerator	27.859
3.3728	4003	proton	EventGenerator	27.912
3.2045	4076	proton	EventGenerator	28.216
3.7551	4092	proton	EventGenerator	27.499
3.3584	4093	proton	EventGenerator	27.938
3.586	4169	proton	EventGenerator	27.806
3.3552	4188	proton	EventGenerator	28.115
3.3884	4230	proton	EventGenerator	28.081
3.3924	4250	proton	EventGenerator	28.047
3.0333	4253	proton	EventGenerator	28.448
3.4564	4281	proton	EventGenerator	27.993
3.3334	4320	proton	EventGenerator	28.01
3.4335	4339	proton	EventGenerator	27.889
3.135	4401	proton	EventGenerator	28.197
3.0797	4432	proton	EventGenerator	28.439
3.3032	4495	proton	EventGenerator	28.113
3.489	4547	proton	EventGenerator	28.023
3.0507	4605	proton	EventGenerator	28.313
3.3326	4761	proton	EventGenerator	28.043
3.2268	4826	proton	EventGenerator	28.226
3.2381	4835	proton	EventGenerator	28.231
3.0977	4954	proton	EventGenerator	28.346
3.3483	4965	proton	EventGenerator	28.056
3.1889	4982	proton	EventGenerator	28.298
3.5218	4988	proton	EventGenerator	27.996
3.3889	5043	proton	EventGenerator	28.053
3.0471	5062	proton	EventGenerator	28.348
3.1689	5169	proton	EventGenerator	28.198
3.1551	5170	proton	EventGenerator	28.271
3.2746	5195	proton	EventGenerator	28.239
3.2829	5261	proton	EventGenerator	28.089
3.2355	5327	proton	EventGenerator	28.186
3.0558	5334	proton	EventGenerator	28.36
3.141	5368	proton	EventGenerator	28.453
3.1129	5394	proton	EventGenerator	28.25
3.4131	5395	proton	EventGenerator	27.988
2.958	5445	proton	EventGenerator	28.456
3.1326	5456	proton	EventGenerator	28.348
3.4348	5473	proton	EventGenerator	27.955
3.3575	5496	proton	EventGenerator	28.007
3.3127	5549	proton	EventGenerator	28.074
3.493	5615	proton	EventGenerator	27.887
3.3423	5639	proton	EventGenerator	28.035
3.155	5643	proton	EventGenerator	28.324
3.1061	5659	proton	EventGenerator	28.477
3.2617	5677	proton	EventGenerator	28.175
3.3346	5689	proton	EventGenerator	28.186
3.2527	5742	proton	EventGenerator	28.143
3.1213	5823	proton	EventGenerator	28.396
2.9537	6085	proton	EventGenerator	28.517
3.1229	6095	proton	EventGenerator	28.304
3.3804	6256	proton	EventGenerator	28.102
3.4118	6272	proton	EventGenerator	27.977
2.9987	6420	proton	EventGenerator	28.445
3.1306	6462	proton	EventGenerator	28.426
3.4629	6495	proton	EventGenerator	27.99
3.3145	6556	proton	EventGenerator	28.145
3.2004	6585	proton	EventGenerator	28.237
3.3116	6588	proton	EventGenerator	28.191
3.402	6620	proton	EventGenerator	28.007
3.3148	6621	proton	EventGenerator	28.092
3.4427	6640	proton	EventGenerator	27.999
3.5032	6664	proton	EventGenerator	27.884
3.4805	6673	proton	EventGenerator	27.973
3.4361	6721	proton	EventGenerator	28.077
3.5429	6729	proton	EventGenerator	27.893
3.106	6756	proton	EventGenerator	28.337
3.3953	6792	proton	EventGenerator	27.949
3.0995	6803	proton	EventGenerator	28.286
3.1556	6808	proton	EventGenerator	28.278
3.5672	6837	proton	EventGenerator	27.853
3.286	6853	proton	EventGenerator	28.08
3.4289	6864	proton	EventGenerator	27.951
3.5781	6888	proton	EventGenerator	27.735
3.3182	6924	proton	EventGenerator	28.052
3.453	6950	proton	EventGenerator	28.064
3.0862	6957	proton	EventGenerator	28.409
3.5345	7006	proton	EventGenerator	27.847
3.3515	7019	proton	EventGenerator	28.179
3.3911	7094	proton	EventGenerator	28.062
3.3463	7127	proton	EventGenerator	28.024
3.5903	7141	proton	EventGenerator	27.759
3.4926	7143	proton	EventGenerator	27.957
3.4782	7193	proton	EventGenerator	27.879
3.1138	7276	proton	EventGenerator	28.235
3.5364	7324	proton	EventGenerator	27.886
3.3031	7339	proton	EventGenerator	28.089
3.3984	7406	proton	EventGenerator	28.025
3.2992	7470	proton	EventGenerator	28.133
3.4043	7526	proton	EventGenerator	28.027
3.3516	7555	proton	EventGenerator	28.141
2.9322	7649	proton	EventGenerator	28.554
3.4843	7720	proton	EventGenerator	27.912
3.4136	7843	proton	EventGenerator	28.012
3.1894	7910	proton	EventGenerator	28.237
3.0554	7930	proton	EventGenerator	28.242
3.0763	7972	proton	EventGenerator	28.326
3.2569	7974	proton	EventGenerator	28.139
3.1468	7976	proton	EventGenerator	28.279
2.9406	7988	proton	EventGenerator	28.663
3.2083	8040	proton	EventGenerator	28.232
3.4267	8071	proton	EventGenerator	27.988
3.4958	8124	proton	EventGenerator	27.977
3.1345	8128	proton	EventGenerator	28.298
2.8446	8148	proton	EventGenerator	28.638
3.2549	8191	proton	EventGenerator	28.197
3.1629	8264	proton	EventGenerator	28.319
3.2574	8297	proton	EventGenerator	28.198
3.1686	8325	proton	EventGenerator	28.267
3.6519	8390	proton	EventGenerator	27.812
3.4768	8434	proton	EventGenerator	27.889
3.2074	8435	proton	EventGenerator	28.226
3.2406	8572	proton	EventGenerator	28.103
3.1559	8573	proton	EventGenerator	28.443
3.2142	8670	proton	EventGenerator	28.154
3.5351	8684	proton	EventGenerator	27.784
3.5121	8734	proton	EventGenerator	27.911
3.376	8774	proton	EventGenerator	27.945
3.4529	8825	proton	EventGenerator	27.983
3.302	8914	proton	EventGenerator	28.051
3.0851	8934	proton	EventGenerator	28.277
3.2417	8935	proton	EventGenerator	28.247
2.8958	8943	proton	EventGenerator	28.62
2.9566	8968	proton	EventGenerator	28.563
3.1854	9008	proton	EventGenerator	28.283
3.316	9023	proton	EventGenerator	28.098
3.3294	9069	proton	EventGenerator	28.042
3.2132	9103	proton	EventGenerator	28.165
3.2434	9164	proton	EventGenerator	28.137
3.4127	9165	proton	EventGenerator	27.969
3.3292	9168	proton	EventGenerator	28.132
3.5558	9181	proton	EventGenerator	27.86
2.7045	9212	proton	EventGenerator	28.871
3.278	9236	proton	EventGenerator	28.089
3.4004	9271	proton	EventGenerator	27.979
3.0253	9286	proton	EventGenerator	28.378
3.2363	9291	proton	EventGenerator	28.153
3.1487	9313	proton	EventGenerator	28.314
3.1805	9317	proton	EventGenerator	28.277
3.6232	9322	proton	EventGenerator	27.683
3.325	9341	proton	EventGenerator	27.997
3.235	9353	proton	EventGenerator	28.272
3.3859	9369	proton	EventGenerator	27.929
3.475	9373	proton	EventGenerator	27.983
3.4549	9393	proton	EventGenerator	27.816
3.193	9417	proton	EventGenerator	28.289
3.4149	9513	proton	EventGenerator	27.967
3.0442	9619	proton	EventGenerator	28.435
3.2223	9626	proton	EventGenerator	28.155
3.3508	9706	proton	EventGenerator	28.103
3.2615	9709	proton	EventGenerator	28.103
3.3573	9714	proton	EventGenerator	27.982
3.4634	9822	proton	EventGenerator	28.024
3.1201	9835	proton	EventGenerator	28.297
